,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,step,loss_x,loss_y,loss_x.1,loss_y.1,loss,mean,stderr
25,25,25,25,25,13,1000,21762.7,6364.0,15482.7,,8959.8,13142.3,6909.592980294378
26,26,26,26,26,12,1000,21762.7,6364.0,15482.7,,13127.2,14184.15,6361.146163231906
27,27,27,27,27,11,1000,21762.7,6364.0,15482.7,,17700.6,15327.5,6516.947699140553
28,28,28,28,28,10,1000,21762.7,6364.0,15482.7,,10329.8,13484.8,6662.708419754437
29,29,29,29,29,9,1000,21762.7,6364.0,15482.7,,5874.6,12371.0,7663.201414117558
30,30,30,30,30,19,1000,21762.7,6364.0,15482.7,,9577.5,13296.725,6790.840152428367
31,31,31,31,31,31,1500,11758.7,,11930.7,11338.5,8190.4,10804.575,1760.4449122783333
32,32,32,32,32,32,2000,4678.0,,,,,4678.0,
33,33,33,33,33,44,2500,,21260.9,22555.3,12024.4,24484.8,20081.35,5532.226255014039
34,34,34,34,34,33,3000,8601.5,,5693.2,10859.8,15113.7,10067.05,3973.8952095729287
35,35,35,35,35,45,3500,,19508.9,11117.7,,,15313.3,5933.474422292558
36,36,36,36,36,48,4000,,8876.4,2233.4,,19821.5,10310.433333333332,8881.309256147617
37,37,37,37,37,47,4000,,8876.4,431.0,,19821.5,9709.633333333331,9722.066699181472
38,38,38,38,38,46,4000,,8876.4,991.7,,19821.5,9896.533333333333,9456.2596211892
39,39,39,39,39,34,4500,24494.2,,,14023.8,17827.6,18781.866666666665,5300.027140811011
40,40,40,40,40,35,5000,15714.4,,8166.6,14428.6,,12769.866666666669,4038.0525520767214
41,41,41,41,41,62,5500,,,7622.3,,28605.5,18113.9,14837.363010993564
42,42,42,42,42,49,6000,,20184.2,21165.9,17557.7,,19635.93333333333,1865.5358649281804
43,43,43,43,43,36,6500,19058.5,,,,,19058.5,
44,44,44,44,44,50,7000,,16285.8,,22558.0,,19421.9,4435.115152958264
45,45,45,45,45,51,7000,,16285.8,,9437.8,,12861.8,4842.267237565477
46,46,46,46,46,63,7500,,,24819.0,5463.4,19137.4,16473.266666666666,9949.020939435866
47,47,47,47,47,37,8000,15691.8,32844.9,22450.3,12634.5,6208.6,17966.02,10165.185000136496
48,48,48,48,48,64,8500,,,2525.2,,,2525.2,
49,49,49,49,49,65,9000,,,2886.7,20068.6,,11477.65,12149.438003669142
50,50,50,50,50,52,9500,,43590.5,13229.7,18935.7,,25251.966666666664,16135.859525086766
51,51,51,51,51,53,10000,,25602.5,,10780.0,,18191.25,10481.0902641376
52,52,52,52,52,39,10500,5431.2,,17514.1,,,11472.65,8543.900526398935
53,53,53,53,53,38,10500,35467.6,,17514.1,,,26490.85,12695.04159603268
54,54,54,54,54,54,11000,,13240.2,20809.5,24957.5,,19669.066666666666,5941.31475040107
55,55,55,55,55,55,11000,,13240.2,0.1,24957.5,,12732.6,12486.440526026625
56,56,56,56,56,42,11500,21899.2,8845.8,,,,15372.5,9230.14765754048
57,57,57,57,57,41,11500,21899.2,24896.2,,,,23397.7,2119.199023216083
58,58,58,58,58,40,11500,21899.2,9316.2,,,,15607.7,8897.524627670327
59,59,59,59,59,56,12000,,13907.3,22449.9,17577.7,,17978.3,4285.36625739271
60,60,60,60,60,57,12000,,18877.1,22449.9,17577.7,,19634.9,2522.950423611214
61,61,61,61,61,58,12000,,19261.1,22449.9,17577.7,,19762.9,2474.557665523276
62,62,62,62,62,43,12500,21163.9,,16692.9,22000.1,,19952.3,2853.5195601222
63,63,63,63,63,60,13000,,8325.2,37752.0,,,23038.6,20807.889828620297
64,64,64,64,64,59,13000,,12839.6,37752.0,,,25295.8,17615.726975631747
65,65,65,65,65,61,13000,,12239.6,37752.0,,,24995.8,18039.991044343675
